Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-07-11,Real Steel,2011,https://boxd.it/6QCZev,5,,Big robots fighting? yes,,2024-07-10
2024-07-11,We Are Your Friends,2015,https://boxd.it/6QCZXP,5,,Amazing story,,2024-07-10
